kil	𒆸
kim	𒁶
kin	𒆥
dib2	𒆪
kid	𒆤
AN	𒀭
(asila)	𒂰
kib	𒄒
gáb	𒆏
be2	𒁉
bat,	𒁁
kit	𒆤
_ugu_	𒌋𒅗
gid₂	𒁍
gál	𒅅
gán	𒃷
kis	𒆧
šék	𒋠
ta[k	𒋳
nam#?	𒉆
ki]	𒆠
ki_	𒆠
šér	𒁍
U18	𒍇
U19	𒌷
tub2	𒂀
{ĝiš}ĝeštin	𒄑 𒃾
225	𒐗 𒐏 𒐊
zuru5	𒇲
f	𒊩
903	𒐞 𒐙 𒐈
á	𒀉
268	𒐘 𒌋𒌋 𒐍
269	𒐘 𒌋𒌋 𒑆
KEŠ₂	𒆟
264	𒐘 𒌋𒌋 𒐉
265	𒐘 𒌋𒌋 𒐊
266	𒐘 𒌋𒌋 𒐋
267	𒐘 𒌋𒌋 𒐌
260	𒐘 𒌋𒌋
261	𒐘 𒌋𒌋 𒁹
262	𒐘 𒌋𒌋 𒈫
263	𒐘 𒌋𒌋 𒐈
GIR7	𒁺
urta	𒅁
gišgal	𒍇
riḫ	𒈛
sila₄	𒃢
4 36	𒐉 𒌍 𒐋
7(disz)	𒐌
zú	𒅗
(galilla)	𒃛
Nig2	𒃻
Te3	𒉀
TIL3	𒋾
àd	𒇼
tiš2	𒌨
ŠILAM	𒉦
ara3	𒄯
ara2	𒌒
{d}tiszpak	𒀭 𒈽
GALGA	𒃌
kip	𒄒
Gur	𒄥
dalla	𒈦𒄘𒃼
kir	𒄫
szig5	𒍋
{ku6}agargara	𒄩 𒉩
ESI	𒆗
_e2_	𒂍
{iri}im{ki}	𒌷 𒅎 𒆠
lul	𒈜
uru₁₂	𒃡
DÀG	𒉌𒌓
uru₁₆	𒂗
zíz	𒍩
ŠITA	𒋖
buranun	𒌓𒄒𒉣
Ter	𒌁
àr	𒄯
 dijir	𒀭
DÀR	𒁰
a	𒀀
_sa	𒊓
udul6	𒁭
silig4	𒋵
pad3	𒅆𒊒
ambar	𒆹
éme	𒌝𒈨
UḪ	𒄴
ar er ir ur	𒅈 𒅕 𒅕 𒌨
Ga	𒂵
(edakua2)	𒆺
UD@s	𒌚
kur₉	𒆭
719	𒐞 𒐕 𒐐 𒑆
Gi	𒄀
šer11	𒄊𒁇
kiš	𒆧
UD@g	𒌙
